lane	family	plane	corpus	mode	cwd	artifact	status_artifact	command	notes
pmu	pmu-direct	direct	apache_builds	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 31429 apache_builds track1 > /tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	apache_builds	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 31429 apache_builds track2 > /tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-apache_builds-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	canada	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-canada-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1777 canada track1 > /tmp/skv12-pin-p1/logs/pmu-direct-canada-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-canada-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	canada	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-canada-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1777 canada track2 > /tmp/skv12-pin-p1/logs/pmu-direct-canada-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-canada-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	citm_catalog	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 2316 citm_catalog track1 > /tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	citm_catalog	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 2316 citm_catalog track2 > /tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	distinct_values	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 26037 distinct_values track1 > /tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	distinct_values	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 26037 distinct_values track2 > /tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-distinct_values-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	github_events	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-github_events-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 61414 github_events track1 > /tmp/skv12-pin-p1/logs/pmu-direct-github_events-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-github_events-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	github_events	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-github_events-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 61414 github_events track2 > /tmp/skv12-pin-p1/logs/pmu-direct-github_events-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-github_events-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	gsoc-2018	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1202 gsoc-2018 track1 > /tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	gsoc-2018	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1202 gsoc-2018 track2 > /tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	instruments	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-instruments-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 18154 instruments track1 > /tmp/skv12-pin-p1/logs/pmu-direct-instruments-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-instruments-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	instruments	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-instruments-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 18154 instruments track2 > /tmp/skv12-pin-p1/logs/pmu-direct-instruments-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-instruments-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	marine_ik	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1341 marine_ik track1 > /tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	marine_ik	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 1341 marine_ik track2 > /tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-marine_ik-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	mesh	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-mesh-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 5528 mesh track1 > /tmp/skv12-pin-p1/logs/pmu-direct-mesh-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-mesh-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	mesh	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-mesh-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 5528 mesh track2 > /tmp/skv12-pin-p1/logs/pmu-direct-mesh-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-mesh-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	numbers	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-numbers-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 26645 numbers track1 > /tmp/skv12-pin-p1/logs/pmu-direct-numbers-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-numbers-track1.rerun.log.err	exact pin PMU command ledger
